,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEST FILE,,CBS,,,,,ICR,,,,,ICTS,,,,,ICTS+ID,,,,,X*,,,,,,
,,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH2_2_1/0.json,,0.241543,8,10,0.0MB,,0.280855,8,10,0.0MB,,3.01652,8,10,0.0MB,,0.393931,8,10,0.0MB,,0.198951,8,10,0.0MB,,,
,WH2_2_1/1.json,,0.40844,13,19,0.0MB,,0.300557,13,19,0.0MB,,6.51381,13,19,0.0MB,,0.544298,13,19,0.0MB,,0.235481,13,19,0.0MB,,,
,WH2_2_1/2.json,,101.649,43,76,7.9MB,,Error,Error,Error,Error,,159.168,43,76,8.1MB,,280.154,43,76,8.2MB,,99.9657,43,76,7.8MB,,,
,WH2_2_1/3.json,,88.1081,76,148,0.0MB,,83.965,76,148,0.0MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,82.5874,76,148,0.0MB,,,
,WH2_2_1/4.json,,0.421708,11,31,0.0MB,,0.505539,11,31,0.0MB,,8.08399,11,31,0.0MB,,0.840708,11,31,0.0MB,,0.386785,11,31,0.0MB,,,
,WH2_2_1/5.json,,49.1734,18,64,0.0MB,,477.91,18,64,8.1MB,,125.235,18,64,8.0MB,,220.334,18,64,8.2MB,,79.4217,18,64,0.0MB,,,
,WH2_2_1/6.json,,1449.23,45,152,8.4MB,,1406.9,45,152,8.5MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,2557.26,45,152,8.9MB,,,
,WH2_2_1/7.json,,Timeout 10m,Timeout 10m,Timeout 10m,231.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,230.8MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,8.1MB,,,
,WH2_2_1/8.json,,Timeout 10m,Timeout 10m,Timeout 10m,523.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,399.7MB,,Timeout 10m,Timeout 10m,Timeout 10m,47.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,40.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,61.4MB,,,
,WH2_2_1/9.json,,Timeout 10m,Timeout 10m,Timeout 10m,355.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,356.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,91.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,146.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,41.8MB,,,
,WH2_2_1/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,192.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,191.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,44.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,46.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,85.0MB,,,
